,event_index,event_timestamp,input_device,event_type,event_code,event_value
158,17,83600.333043,/dev/input/event2:,0003,0035,000055af
159,17,83600.333043,/dev/input/event2:,0003,0036,00004399
160,17,83600.333043,/dev/input/event2:,0000,0000,00000000
161,17,83600.341582,/dev/input/event2:,0003,003a,00000000
162,17,83600.341582,/dev/input/event2:,0003,0039,ffffffff
163,17,83600.341582,/dev/input/event2:,0000,0000,00000000
164,18,83609.162418,/dev/input/event2:,0003,0039,00000000
165,18,83609.162418,/dev/input/event2:,0003,0030,00000016
166,18,83609.162418,/dev/input/event2:,0003,003a,00000081
167,18,83609.162418,/dev/input/event2:,0003,0035,00004097
168,18,83609.162418,/dev/input/event2:,0003,0036,00007cdc
169,18,83609.162418,/dev/input/event2:,0000,0000,00000000
170,18,83609.249635,/dev/input/event2:,0003,003a,00000000
171,18,83609.249635,/dev/input/event2:,0003,0039,ffffffff
172,18,83609.249635,/dev/input/event2:,0000,0000,00000000
173,19,83611.379953,/dev/input/event2:,0003,0039,00000000
174,19,83611.379953,/dev/input/event2:,0003,0030,00000017
175,19,83611.379953,/dev/input/event2:,0003,003a,00000081
176,19,83611.379953,/dev/input/event2:,0003,0035,0000327c
177,19,83611.379953,/dev/input/event2:,0003,0036,00001ddd
178,19,83611.379953,/dev/input/event2:,0000,0000,00000000
179,19,83611.484751,/dev/input/event2:,0003,003a,00000000
180,19,83611.484751,/dev/input/event2:,0003,0039,ffffffff
181,19,83611.484751,/dev/input/event2:,0000,0000,00000000
182,20,83612.729809,/dev/input/event2:,0003,0039,00000000
183,20,83612.729809,/dev/input/event2:,0003,0030,00000018
184,20,83612.729809,/dev/input/event2:,0003,003a,00000081
185,20,83612.729809,/dev/input/event2:,0003,0035,00000a12
186,20,83612.729809,/dev/input/event2:,0003,0036,000002ee
187,20,83612.729809,/dev/input/event2:,0000,0000,00000000
188,20,83612.808663,/dev/input/event2:,0003,003a,00000000
189,20,83612.808663,/dev/input/event2:,0003,0039,ffffffff
190,20,83612.808663,/dev/input/event2:,0000,0000,00000000
191,21,83614.203785,/dev/input/event2:,0003,0039,00000000
192,21,83614.203785,/dev/input/event2:,0003,0030,00000019
193,21,83614.203785,/dev/input/event2:,0003,003a,00000081
194,21,83614.203785,/dev/input/event2:,0003,0035,00000b7e
195,21,83614.203785,/dev/input/event2:,0003,0036,000007ee
196,21,83614.203785,/dev/input/event2:,0000,0000,00000000
197,21,83614.281096,/dev/input/event2:,0003,003a,00000000
198,21,83614.281096,/dev/input/event2:,0003,0039,ffffffff
199,21,83614.281096,/dev/input/event2:,0000,0000,00000000
200,22,83617.074261,/dev/input/event2:,0003,0039,00000000
201,22,83617.074261,/dev/input/event2:,0003,0030,0000001a
202,22,83617.074261,/dev/input/event2:,0003,003a,00000081
203,22,83617.074261,/dev/input/event2:,0003,0035,0000127d
204,22,83617.074261,/dev/input/event2:,0003,0036,00003faa
205,22,83617.074261,/dev/input/event2:,0000,0000,00000000
206,22,83617.152624,/dev/input/event2:,0003,003a,00000000
207,22,83617.152624,/dev/input/event2:,0003,0039,ffffffff
208,22,83617.152624,/dev/input/event2:,0000,0000,00000000
209,23,83618.681988,/dev/input/event2:,0003,0039,00000000
210,23,83618.681988,/dev/input/event2:,0003,0030,0000001b
